Address,Rooms,Area,Towards,Floor,Decorate,subway,FiveYear,hasLift,TotalPrice,Price
星耀城-中兴-江陵路2028号,2室2厅2卫,42,南向,中层（共29层）,精装修,距离1号线江陵路439米,满五唯一,电梯房,115万元,27380元/
东和时代-中兴-江晖路1930号,1室1厅1卫,42,南北向,高层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,155万元,36904元/
半岛国际-长河-滨盛路2271号,2室2厅1卫,89,南北向,中层（共15层）,毛坯,0,满五唯一,电梯房,520万元,58426元/
中赢云际-中兴-江晖路1062号,2室2厅1卫,50,南向,中层（共18层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,210万元,42000元/
东和时代-中兴-江晖路1930号,2室2厅2卫,53,南向,低层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,145万元,27358元/
"钱塘之星-中兴-江南大道,近西兴路",2室2厅1卫,42,南北向,中层（共18层）,精装修,距离1号线江陵路990米,满五唯一,电梯房,120万元,28571元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,50,南向,中层（共18层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,180万元,36000元/
"中赢康康谷-中兴-春晓路,近滨兴路",1室1厅1卫,60,南向,共1层,精装修,距离1号线滨和路566米,满五唯一,1,232万元,38666元/
"杭州印-中兴-闻涛路,近江晖路",1室1厅1卫,44,西向,中层（共39层）,精装修,距离1号线江陵路1089米,满五唯一,电梯房,150万元,34090元/
"杭州印-中兴-闻涛路,近江晖路",5室2厅2卫,277,南北向,中层（共36层）,精装修,距离1号线江陵路1089米,满五唯一,电梯房,710万元,25631元/
钱塘玫瑰湾-浦沿-滨文路,3室2厅2卫,89,南北向,中层（共18层）,精装修,距离4号线杨家墩685米,满五唯一,电梯房,320万元,35955元/
钱塘玫瑰湾-浦沿-滨文路,3室2厅2卫,89,南北向,低层（共18层）,毛坯,距离4号线杨家墩685米,满五唯一,电梯房,340万元,37861元/
"钱塘大观-浦沿-闻涛路,近新和路",2室2厅1卫,89,南北向,高层（共32层）,精装修,0,满五唯一,电梯房,288万元,32359元/
兴耀鑫都汇-西兴-滨康路,1室2厅1卫,49,西向,高层（共20层）,精装修,距离1号线西兴514米,唯一住房,电梯房,155万元,31568元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,东南向,共5层,简单装修,距离1号线江陵路977米,满五唯一,1,160万元,38095元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅1卫,54,南向,高层（共19层）,精装修,0,0,电梯房,160万元,29629元/
钱塘玫瑰湾-浦沿-滨文路,3室2厅2卫,89,南北向,中层（共18层）,精装修,距离4号线杨家墩685米,满五唯一,电梯房,328万元,36853元/
钱塘玫瑰湾-浦沿-滨文路,3室2厅2卫,89,南北向,低层（共18层）,毛坯,距离4号线杨家墩685米,满五唯一,电梯房,348万元,38752元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅2卫,53,东南向,高层（共20层）,简单装修,0,0,电梯房,192万元,35887元/
高润云杉郡-彩虹城-火炬大道,2室2厅2卫,48,南向,高层（共24层）,精装修,0,0,电梯房,157万元,32708元/
兴耀鑫都汇-西兴-滨康路,2室1厅2卫,49,南北向,中层（共20层）,精装修,距离1号线西兴514米,满五唯一,电梯房,148万元,30204元/
"江滨澜廷-中兴-闻涛路,近江陵路",1室2厅1卫,59,南北向,低层（共12层）,精装修,距离1号线江陵路849米,满五唯一,电梯房,205万元,34745元/
观邸国际-其他-新和路167号,4室2厅2卫,230,南向,中层（共26层）,毛坯,距离4号线中医药大学1358米,满五唯一,电梯房,650万元,28260元/
半岛国际-长河-滨盛路2271号,3室2厅1卫,89,南向,高层（共28层）,毛坯,0,满五唯一,电梯房,386万元,43370元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅2卫,42,南向,中层（共22层）,精装修,0,满五唯一,电梯房,148万元,35238元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅2卫,42,南向,中层（共29层）,精装修,0,满五唯一,电梯房,160万元,38095元/
君尚金座-中兴-安业路229号,3室2厅3卫,121,南北向,中层（共27层）,豪华装修,0,满二唯一,1,358万元,29586元/
中赢云际-中兴-江晖路1062号,2室2厅1卫,50,南向,低层（共20层）,豪华装修,距离1号线滨和路748米,满五唯一,电梯房,240万元,48000元/
兴耀鑫都汇-西兴-滨康路,2室2厅2卫,42,东向,中层（共27层）,精装修,距离1号线西兴514米,满五唯一,电梯房,166万元,39523元/
兴耀鑫都汇-西兴-滨康路,2室2厅2卫,42,东向,中层（共27层）,精装修,距离1号线西兴514米,满五唯一,电梯房,166万元,39523元/
"寰宇天下C区-中兴-滨盛路,近江陵路",5室3厅5卫,356,南北向,中层（共22层）,简单装修,距离1号线江陵路814米,满五唯一,电梯房,1850万元,51966元/
东方商务会馆-长河-江陵路601号,1室1厅1卫,41,南向,中层（共24层）,精装修,距离1号线西兴352米,满二唯一,电梯房,90万元,21951元/
星耀城-中兴-江陵路2028号,3室2厅2卫,63,东向,中层（共20层）,精装修,距离1号线江陵路439米,满二唯一,电梯房,255万元,40476元/
"江滨澜廷-中兴-闻涛路,近江陵路",2室2厅1卫,42,南向,高层（共15层）,精装修,距离1号线江陵路849米,0,电梯房,120万元,28571元/
积家(公寓)-浦沿-浦沿路789号,4室3厅2卫,58,东南向,中层（共16层）,精装修,距离4号线中医药大学210米,满二唯一,1,139万元,23965元/
"杭州印-中兴-闻涛路,近江晖路",1室1厅1卫,50,南北向,高层（共28层）,精装修,距离1号线江陵路1089米,满五唯一,电梯房,145万元,29000元/
"绿地旭辉城-西兴-长虹路,近滨盛路",2室1厅1卫,60,南北向,中层（共6层）,豪华装修,0,满五唯一,电梯房,240万元,40000元/
"寰宇天下C区-中兴-滨盛路,近江陵路",5室3厅5卫,350,南北向,中层（共22层）,简单装修,距离1号线江陵路814米,满五唯一,电梯房,1850万元,52857元/
"中赢康康谷-中兴-春晓路,近滨兴路",1室1厅1卫,60,南向,共1层,精装修,距离1号线滨和路566米,满五唯一,1,232万元,38666元/
东和时代-中兴-江晖路1930号,2室2厅2卫,53,南向,高层（共18层）,豪华装修,距离1号线江陵路977米,满五唯一,电梯房,190万元,35849元/
东和时代-中兴-江晖路1930号,2室2厅2卫,53,南向,高层（共18层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,190万元,35849元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅2卫,42,南北向,中层（共29层）,精装修,0,满五唯一,电梯房,135万元,32142元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,42,南向,中层（共29层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,150万元,35714元/
中赢云际-中兴-江晖路1062号,2室1厅2卫,50,南向,中层（共29层）,豪华装修,距离1号线滨和路748米,满五唯一,电梯房,215万元,43000元/
东和时代-中兴-江晖路1930号,2室2厅2卫,53,南向,高层（共18层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,190万元,35849元/
东和时代-中兴-江晖路1930号,1室1厅1卫,42,南北向,高层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,155万元,36904元/
中南白马湖壹...-长河-时代大道,3室2厅2卫,89,南北向,低层（共28层）,豪华装修,0,满五唯一,电梯房,278万元,31235元/
歌山品悦府(...-西兴-古塘路32号,4室2厅2卫,138,南北向,共4层,简单装修,距离1号线西兴573米,满五唯一,1,405万元,29347元/
东方商务会馆-长河-江陵路601号,1室1厅1卫,45,南向,中层（共24层）,精装修,距离1号线西兴352米,满二唯一,1,98万元,21777元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,42,南向,中层（共29层）,简单装修,距离1号线滨和路566米,满五唯一,电梯房,153.4万元,36523元/
"金铂湾-中兴-闻涛路,近通和路",2室1厅1卫,50,南向,高层（共26层）,精装修,距离1号线江陵路841米,满五唯一,电梯房,180万元,36000元/
"中天官河锦庭...-西兴-滨康路,近阡陌路",2室2厅2卫,73,南北向,中层（共34层）,精装修,距离1号线西兴472米,满五唯一,电梯房,311万元,42602元/
钱江公寓-其他-七堡直街12号,1室1厅1卫,51,南北向,高层（共14层）,豪华装修,0,满两年,电梯房,160万元,31372元/
汉峰峰公馆-中兴-滨盛路1826号,1室2厅2卫,51,南北向,中层（共22层）,精装修,距离1号线江陵路1161米,满五唯一,电梯房,146万元,28627元/
东和云第-浦沿-明德路350号,3室2厅1卫,89,南北向,中层（共32层）,简单装修,距离4号线浦沿819米,满五唯一,电梯房,280万元,31460元/
"中国铁建江南...-西兴-金城路,近风情大道",3室2厅2卫,87,南北向,低层（共34层）,毛坯,距离1号线滨康路962米,满五唯一,电梯房,400万元,45610元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,42,南向,中层（共20层）,精装修,距离1号线滨和路748米,0,电梯房,170万元,40476元/
东和时代-中兴-江晖路1930号,2室2厅2卫,42,南北向,中层（共28层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,89万元,21190元/
兴耀鑫都汇-西兴-滨康路,2室2厅2卫,42,东向,中层（共27层）,精装修,距离1号线西兴514米,满五唯一,电梯房,166万元,39523元/
"绿地旭辉城-西兴-长虹路,近滨盛路",3室2厅2卫,137,东向,中层（共48层）,精装修,0,唯一住房,电梯房,800万元,58076元/
"杭州印-中兴-闻涛路,近江晖路",1室1厅1卫,48,西向,中层（共39层）,精装修,距离1号线江陵路1089米,唯一住房,电梯房,195万元,40206元/
龙湖春江彼岸-西兴-扬帆路,3室2厅2卫,102,南北向,高层（共33层）,精装修,0,唯一住房,电梯房,650万元,63725元/
中南白马湖壹...-长河-时代大道,2室2厅2卫,50,南北向,高层（共28层）,精装修,0,满五唯一,电梯房,163万元,32600元/
和顺风尚蓝湾-彩虹城-西浦路1569号,2室1厅1卫,45,南向,低层（共18层）,精装修,距离4号线中医药大学1150米,满五唯一,电梯房,83万元,18444元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,东南向,中层（共29层）,精装修,距离1号线江陵路977米,唯一住房,电梯房,166万元,39523元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅1卫,42,东南向,中层（共29层）,精装修,0,0,电梯房,136万元,32380元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室1厅2卫,48,南北向,高层（共19层）,精装修,距离1号线滨和路566米,唯一住房,电梯房,185.6万元,38110元/
星耀城-中兴-江陵路2028号,2室2厅2卫,42,南向,低层（共29层）,豪华装修,距离1号线江陵路439米,唯一住房,电梯房,168万元,40000元/
龙湖春江彼岸-西兴-扬帆路,5室2厅3卫,197,南向,中层（共32层）,毛坯,0,唯一住房,电梯房,1150万元,58251元/
高润云杉郡-彩虹城-火炬大道,2室2厅2卫,42,南向,中层（共24层）,精装修,0,满五唯一,电梯房,155万元,36904元/
"世茂智慧之门-中兴-江南大道,近风情大道",2室2厅2卫,51,南向,高层（共23层）,精装修,距离1号线江陵路1416米,满五唯一,电梯房,150万元,29411元/
中南白马湖壹...-长河-时代大道,3室2厅2卫,89,南向,高层（共18层）,毛坯,0,满五唯一,电梯房,310万元,34831元/
兴耀鑫都汇-西兴-滨康路,2室2厅2卫,51,南向,中层（共20层）,精装修,距离1号线西兴514米,0,电梯房,156万元,30588元/
江南望庄-长河-月明路983号,2室2厅1卫,87,南向,高层（共25层）,简单装修,距离1号线滨和路625米,满两年,电梯房,415万元,47701元/
高润云杉郡-彩虹城-火炬大道,2室2厅2卫,42,南向,高层（共24层）,精装修,0,满二唯一,电梯房,160万元,38095元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,东南向,共5层,简单装修,距离1号线江陵路977米,满五唯一,1,160万元,38095元/
"中赢康康谷-中兴-春晓路,近滨兴路",3室2厅2卫,48,南北向,中层（共14层）,精装修,距离1号线滨和路566米,满五唯一,电梯房,180万元,37500元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,42,南向,中层（共20层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,170万元,40476元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,南北向,低层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,155万元,36904元/
汉峰峰公馆-中兴-滨盛路1826号,1室2厅2卫,51,南向,高层（共22层）,精装修,距离1号线江陵路1161米,满五唯一,电梯房,150万元,29126元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅2卫,42,南向,高层（共29层）,豪华装修,0,满五唯一,电梯房,172万元,40952元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,57,南向,中层（共20层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,250万元,43859元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,45,南北向,高层（共20层）,精装修,距离1号线滨和路748米,满二唯一,电梯房,183万元,40666元/
"湖漫雅筑-长河-天官路,近光裕路",4室2厅2卫,135,南北向,高层（共11层）,毛坯,0,满五唯一,电梯房,480万元,35555元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,45,南向,中层（共18层）,精装修,距离1号线滨和路566米,满五唯一,电梯房,180万元,39215元/
"中赢康康谷-中兴-春晓路,近滨兴路",1室,40,南向,中层（共29层）,精装修,距离1号线滨和路566米,0,电梯房,118万元,29500元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,东南向,中层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,160万元,38095元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,东南向,低层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,155万元,36904元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅2卫,42,南向,中层（共22层）,精装修,0,满五唯一,电梯房,118万元,28095元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,35,南向,中层（共29层）,精装修,距离1号线滨和路566米,0,电梯房,118万元,33714元/
现代印象广场-长河-江南大道3399号,2室1厅1卫,40,南向,中层（共12层）,精装修,0,满五唯一,电梯房,90万元,22500元/
现代印象广场-长河-江南大道3399号,2室1厅1卫,60,南向,中层（共12层）,精装修,0,满五唯一,电梯房,120万元,20000元/
中南白马湖壹...-长河-时代大道,3室2厅2卫,89,南北向,中层（共21层）,毛坯,0,满五唯一,电梯房,280万元,31460元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,42,东南向,高层（共15层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,156万元,37142元/
"江滨澜廷-中兴-闻涛路,近江陵路",1室1厅1卫,47,东向,高层（共24层）,简单装修,距离1号线江陵路849米,满五唯一,电梯房,165万元,35106元/
半岛国际-长河-滨盛路2271号,4室2厅2卫,138,南北向,中层（共33层）,精装修,0,满五唯一,电梯房,580万元,42028元/
中赢云际-中兴-江晖路1062号,2室2厅1卫,42,南北向,中层（共20层）,简单装修,距离1号线滨和路748米,满五唯一,电梯房,148万元,35238元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅1卫,54,南向,高层（共19层）,精装修,0,满五唯一,电梯房,165万元,30555元/
"金铂湾-中兴-闻涛路,近通和路",1室1厅1卫,63,南向,中层（共24层）,精装修,距离1号线江陵路841米,满五唯一,电梯房,190万元,30158元/
星耀城-中兴-江陵路2028号,3室2厅2卫,65,南北向,中层（共23层）,精装修,距离1号线江陵路439米,满五唯一,电梯房,240万元,36923元/
"世茂智慧之门-中兴-江南大道,近风情大道",2室2厅2卫,45,南北向,中层（共26层）,精装修,距离1号线江陵路1416米,满五唯一,电梯房,168万元,37333元/
杭州壹号院-中兴-飞虹路,3室2厅2卫,55,南北向,中层（共29层）,豪华装修,0,满五唯一,电梯房,206万元,37454元/
兴耀鑫都汇-西兴-滨康路,2室1厅2卫,49,南北向,高层（共20层）,精装修,距离1号线西兴514米,满五唯一,电梯房,150万元,30525元/
星耀城-中兴-江陵路2028号,1室2厅2卫,42,东向,中层（共21层）,精装修,距离1号线江陵路439米,满五唯一,电梯房,130万元,30952元/
中赢云际-中兴-江晖路1062号,2室2厅1卫,50,南向,中层（共18层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,195万元,39000元/
龙湖春江彼岸-西兴-扬帆路,3室2厅1卫,105,东南向,中层（共33层）,毛坯,0,满五唯一,电梯房,630万元,59704元/
世茂之西湖茂...-彩虹城-江南大道,1室2厅1卫,47,南向,中层（共30层）,精装修,距离4号线联庄486米,满五唯一,电梯房,168万元,35744元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,东南向,中层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,160万元,38095元/
星耀城-中兴-江陵路2028号,1室1厅2卫,58,东南向,低层（共25层）,毛坯,距离1号线江陵路439米,满五唯一,电梯房,163万元,27702元/
杭州壹号院-中兴-飞虹路,3室2厅2卫,64,南北向,中层（共29层）,豪华装修,0,满五唯一,电梯房,240万元,37500元/
星耀城-中兴-江陵路2028号,3室2厅2卫,80,西向,中层（共25层）,精装修,距离1号线江陵路439米,满五唯一,电梯房,275万元,34375元/
半岛国际-长河-滨盛路2271号,2室2厅1卫,89,南北向,中层（共28层）,精装修,0,满两年,电梯房,375万元,42134元/
半岛国际-长河-滨盛路2271号,3室2厅2卫,129,南北向,高层（共34层）,毛坯,0,满两年,电梯房,565万元,43646元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,45,南向,中层（共20层）,精装修,距离1号线滨和路566米,满五唯一,电梯房,210万元,46666元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,45,南向,中层（共20层）,精装修,距离1号线滨和路566米,满五唯一,电梯房,210万元,46666元/
铂金名筑-长河-平安路38号,3室2厅1卫,88,南北向,高层（共12层）,精装修,0,满五唯一,电梯房,340万元,38245元/
东和时代-中兴-江晖路1930号,2室2厅2卫,42,南北向,低层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,160万元,38095元/
铂金名筑-长河-平安路38号,3室2厅1卫,89,南北向,高层（共28层）,精装修,0,满五唯一,电梯房,320万元,35955元/
东和时代-中兴-江晖路1930号,2室2厅2卫,53,南向,高层（共18层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,190万元,35849元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅2卫,42,南向,中层（共22层）,精装修,0,唯一住房,电梯房,117万元,27857元/
"江滨澜廷-中兴-闻涛路,近江陵路",1室1厅1卫,58,南北向,中层（共30层）,精装修,距离1号线江陵路849米,满两年,电梯房,187万元,31987元/
"中国铁建江南...-西兴-金城路,近风情大道",4室2厅2卫,118,南北向,中层（共34层）,毛坯,距离1号线滨康路962米,满五唯一,电梯房,480万元,40438元/
现代印象广场-长河-江南大道3399号,2室1厅1卫,40,南北向,中层（共12层）,精装修,0,满五唯一,电梯房,78万元,19500元/
现代印象广场-长河-江南大道3399号,2室1厅1卫,40,南向,中层（共12层）,精装修,0,满五唯一,电梯房,90万元,22500元/
超级星期天(...-彩虹城-西浦路1718号,2室2厅2卫,51,南向,高层（共12层）,精装修,距离4号线中医药大学1069米,满五唯一,电梯房,95万元,18627元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,48,北向,中层（共22层）,精装修,距离1号线滨和路566米,满五唯一,电梯房,170万元,35416元/
绿城明月江南...-西兴-西兴路,4室2厅2卫,185,南北向,中层（共26层）,精装修,距离1号线江陵路1049米,满五唯一,电梯房,980万元,52972元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,46,南北向,高层（共18层）,精装修,距离1号线滨和路566米,满五唯一,电梯房,170万元,36956元/
"中赢康康谷-中兴-春晓路,近滨兴路",3室2厅2卫,67,南北向,中层（共28层）,简单装修,距离1号线滨和路566米,满五唯一,电梯房,200万元,29850元/
汉峰峰公馆-中兴-滨盛路1826号,1室2厅2卫,51,南北向,中层（共22层）,简单装修,距离1号线江陵路1161米,满五唯一,电梯房,132万元,25882元/
星光国际广场-其他-江南大道228号,1室1厅1卫,54,南向,中层（共27层）,精装修,距离1号线江陵路711米,满五唯一,电梯房,110万元,20220元/
积家(公寓)-浦沿-浦沿路789号,1室2厅2卫,40,南北向,低层（共22层）,精装修,距离4号线中医药大学210米,满五唯一,电梯房,115万元,28750元/
杭州壹号院-中兴-飞虹路,5室2厅3卫,349,南向,高层（共26层）,豪华装修,0,满两年,电梯房,1850万元,53008元/
"湖漫雅筑-长河-天官路,近光裕路",3室2厅2卫,106,南向,高层（共11层）,精装修,0,满五唯一,电梯房,312万元,29433元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,35,南向,中层（共29层）,精装修,距离1号线滨和路566米,0,电梯房,118万元,33714元/
现代印象广场-长河-江南大道3399号,2室1厅1卫,40,南向,中层（共12层）,精装修,0,满五唯一,电梯房,90万元,22500元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅2卫,42,南向,中层（共29层）,简单装修,距离1号线滨和路566米,满五唯一,电梯房,153.4万元,36523元/
"江滨澜廷-中兴-闻涛路,近江陵路",2室2厅1卫,80,南北向,低层（共30层）,精装修,距离1号线江陵路849米,满两年,电梯房,385万元,48125元/
"滨江金茂府(...-中兴-西兴路,近滨盛路",4室2厅2卫,144,南向,中层（共26层）,豪华装修,距离1号线江陵路910米,唯一住房,电梯房,471万元,32706元/
"金铂湾-中兴-闻涛路,近通和路",1室1厅1卫,42,南向,高层（共24层）,豪华装修,距离1号线江陵路841米,满五唯一,电梯房,154万元,36666元/
兴耀鑫都汇-西兴-滨康路,2室2厅2卫,43,南向,低层（共22层）,精装修,距离1号线西兴514米,满五唯一,电梯房,149万元,33909元/
高润云杉郡-彩虹城-火炬大道,1室2厅2卫,47,南北向,高层（共24层）,精装修,0,满五唯一,电梯房,130万元,27659元/
"江滨澜廷-中兴-闻涛路,近江陵路",1室1厅1卫,58,南北向,中层（共24层）,精装修,距离1号线江陵路849米,满五唯一,电梯房,205万元,35042元/
东和时代-中兴-江晖路1930号,2室2厅2卫,42,南北向,高层（共29层）,精装修,距离1号线江陵路977米,0,电梯房,155万元,36904元/
兴耀鑫都汇-西兴-滨康路,2室2厅2卫,42,南向,中层（共22层）,精装修,距离1号线西兴514米,满五唯一,电梯房,150万元,35714元/
东和时代-中兴-江晖路1930号,2室2厅2卫,53,南向,高层（共18层）,精装修,距离1号线江陵路977米,0,电梯房,190万元,35849元/
半岛国际-长河-滨盛路2271号,3室2厅2卫,89,南北向,高层（共28层）,精装修,0,满二唯一,电梯房,510万元,57303元/
东和时代-中兴-江晖路1930号,2室2厅2卫,42,南北向,低层（共24层）,简单装修,距离1号线江陵路977米,唯一住房,电梯房,147万元,35000元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室2厅1卫,49,南北向,高层（共18层）,简单装修,距离1号线滨和路566米,满五唯一,电梯房,190万元,38229元/
